iso3c	year	births	schooling	population	continent	skilled	hexp
NPL	1975	5.733	0.181	13870695	Asia	NA	NA
NPL	1980	5.603	0.271	15553105	Asia	NA	NA
NPL	1985	5.457	0.778	17477692	Asia	NA	NA
NPL	1990	5.211	1.347	19524573	Asia	NA	NA
NPL	1995	4.869	1.578	22245439	Asia	NA	NA
NPL	2000	3.984	2.075	24546509	Asia	11.9	3.13292074
NPL	2005	3.115	2.785	26309458	Asia	NA	3.95095325
NPL	2010	2.541	3.736	27341952	Asia	NA	4.36131525
NPL	2015	2.273	4.895	27823629	Asia	NA	5.46615553
NLD	1960	3.12	6.231	11486631	Europe	NA	NA
NLD	1965	3.04	7.306	12294732	Europe	NA	NA
NLD	1970	2.57	8.277	13038526	Europe	NA	NA
NLD	1975	1.66	8.954	13666335	Europe	NA	NA
NLD	1980	1.6	9.524	14149800	Europe	NA	NA
NLD	1985	1.51	9.913	14491632	Europe	NA	NA
NLD	1990	1.62	10.336	14951510	Europe	NA	NA
NLD	1995	1.53	10.659	15459006	Europe	NA	NA
NLD	2000	1.72	10.99	15925513	Europe	NA	7.7069602
NLD	2005	1.71	10.987	16319868	Europe	NA	9.09666824
NLD	2010	1.79	11.62	16615394	Europe	NA	10.15508747
NLD	2015	1.66	11.786	16939923	Europe	NA	10.32393837
VUT	1985	5.433	NA	130356	Oceania	NA	NA
VUT	1990	5.166	NA	148063	Oceania	79	NA
VUT	1995	4.847	NA	167137	Oceania	89.1	NA
VUT	2000	4.537	NA	186281	Oceania	88	3.30683255
VUT	2005	4.133	NA	210760	Oceania	92	3.30528617
VUT	2010	4.126	NA	238248	Oceania	NA	3.52656102
VUT	2015	3.952	NA	266101	Oceania	NA	4.32168293
NZL	1960	4.24	10.029	2371800	Oceania	NA	NA
NZL	1965	3.54	10.078	2628400	Oceania	NA	NA
NZL	1970	3.17	10.966	2810700	Oceania	NA	NA
NZL	1975	2.37	11.801	3083100	Oceania	NA	NA
NZL	1980	2.03	11.56	3112900	Oceania	NA	NA
NZL	1985	1.93	11.573	3247100	Oceania	NA	NA
NZL	1990	2.18	11.494	3329800	Oceania	NA	NA
NZL	1995	1.98	11.802	3673400	Oceania	100	NA
NZL	2000	1.98	12.097	3857700	Oceania	97.3	7.4700222
NZL	2005	1.97	11.909	4133900	Oceania	96.6	8.27334881
NZL	2010	2.17	11.786	4350700	Oceania	96.8	9.59277534
NZL	2015	1.99	11.274	4609400	Oceania	96.3	9.28344345
NIC	1960	7.159	1.644	1782370	Americas	NA	NA
NIC	1965	7.033	1.752	2072681	Americas	NA	NA
NIC	1970	6.773	1.862	2423065	Americas	NA	NA
NIC	1975	6.445	2.131	2816943	Americas	NA	NA
NIC	1980	5.959	2.613	3252403	Americas	NA	NA
NIC	1985	5.359	3.076	3706479	Americas	NA	NA
NIC	1990	4.596	4.141	4162559	Americas	NA	NA
NIC	1995	3.775	4.98	4642931	Americas	NA	NA
NIC	2000	3.12	5.76	5022633	Americas	NA	5.23883677
NIC	2005	2.765	6.554	5342105	Americas	78.6	6.22468948
NIC	2010	2.596	7.108	5737450	Americas	88	7.71019173
NIC	2015	2.434	7.829	6149417	Americas	94	7.96303272
NER	1965	7.466	0.086	4049695	Africa	NA	NA
NER	1970	7.514	0.126	4650275	Africa	NA	NA
NER	1975	7.539	0.178	5317019	Africa	NA	NA
NER	1980	7.782	0.265	6135971	Africa	NA	NA
NER	1985	7.932	0.393	7118457	Africa	NA	NA
NER	1990	7.806	0.549	8286059	Africa	NA	NA
NER	1995	7.776	0.694	9714529	Africa	NA	NA
NER	2000	7.829	0.814	11509630	Africa	15.7	4.69005966
NER	2005	7.769	1.004	13756192	Africa	NA	5.67637587
NER	2010	7.64	1.363	16548835	Africa	NA	5.02160501
NER	2015	7.215	1.819	19939498	Africa	39.7	5.34745932
NGA	1965	6.367	NA	50086764	Africa	NA	NA
NGA	1970	6.466	NA	55893838	Africa	NA	NA
NGA	1975	6.773	NA	63410815	Africa	NA	NA
NGA	1980	6.847	NA	73764641	Africa	NA	NA
NGA	1985	6.616	NA	84897973	Africa	NA	NA
NGA	1990	6.459	NA	97120925	Africa	32	NA
NGA	1995	6.273	NA	110819428	Africa	NA	NA
NGA	2000	6.124	NA	126382494	Africa	NA	3.1973834
NGA	2005	6.063	NA	145017253	Africa	NA	4.46591949
NGA	2010	5.948	NA	166642886	Africa	NA	3.29653287
NGA	2015	5.503	NA	190671878	Africa	NA	3.58194995
NOR	1960	2.85	7.38	3581239	Europe	NA	NA
NOR	1965	2.94	7.779	3723168	Europe	NA	NA
NOR	1970	2.5	8.191	3875763	Europe	NA	NA
NOR	1975	1.98	8.502	4007313	Europe	NA	NA
NOR	1980	1.72	9.074	4085620	Europe	NA	NA
NOR	1985	1.68	9.97	4152516	Europe	NA	NA
NOR	1990	1.93	10.668	4241473	Europe	99.4	NA
NOR	1995	1.87	11.254	4359184	Europe	99.2	NA
NOR	2000	1.85	11.578	4490967	Europe	99	7.70270586
NOR	2005	1.84	12.044	4623291	Europe	99.2	8.29899502
NOR	2010	1.95	11.853	4889252	Europe	99.1	8.8581152
NOR	2015	1.72	12.86	5188607	Europe	99.1	10.06992245
FSM	1990	5.049	NA	100888	Oceania	NA	NA
FSM	1995	4.494	NA	110230	Oceania	NA	NA
FSM	2000	4.217	NA	112044	Oceania	82.8	7.86639547
FSM	2005	3.595	NA	111412	Oceania	82.7	18.02140999
FSM	2010	3.271	NA	107540	Oceania	NA	21.48778725
FSM	2015	3.049	NA	108716	Oceania	NA	12.70485306
MHL	1990	5.97	NA	44629	Oceania	NA	NA
MHL	1995	5.091	NA	48266	Oceania	NA	NA
MHL	2000	4.695	NA	50706	Oceania	NA	13.52467632
MHL	2005	4.276	NA	51906	Oceania	NA	18.45293236
MHL	2010	3.673	NA	52044	Oceania	90	17.84438324
MHL	2015	3.131	NA	48800	Oceania	NA	14.86287594
PLW	1995	2.553	NA	17195	Oceania	100	NA
PLW	2000	1.819	NA	19178	Oceania	100	8.63728905
PLW	2005	2.017	NA	19819	Oceania	NA	8.63174248
PLW	2010	1.937	NA	18396	Oceania	99.6	10.93099976
PLW	2015	2.002	NA	17770	Oceania	100	9.76325321
PAK	1975	6.812	0.942	69461175	Asia	NA	NA
PAK	1980	6.734	1.146	82291010	Asia	NA	NA
PAK	1985	6.585	1.365	98229285	Asia	NA	NA
PAK	1990	6.364	1.698	116155576	Asia	NA	NA
PAK	1995	5.894	2.148	134582253	Asia	NA	NA
PAK	2000	5.352	2.671	154879127	Asia	NA	2.48079324
PAK	2005	4.595	3.701	175453212	Asia	31	2.37323904
PAK	2010	4.398	3.94	199239047	Asia	NA	2.42967653
PAK	2015	3.988	4.911	217290883	Asia	59	2.49493265
PAN	1960	5.829	4.743	1126005	Americas	NA	NA
PAN	1965	5.728	5.11	1308835	Americas	NA	NA
PAN	1970	5.175	5.619	1513070	Americas	NA	NA
PAN	1975	4.414	6.156	1732389	Americas	NA	NA
PAN	1980	3.796	6.923	1957534	Americas	NA	NA
PAN	1985	3.427	7.662	2200915	Americas	NA	NA
PAN	1990	3.072	8.208	2455583	Americas	NA	NA
PAN	1995	2.852	8.807	2724557	Americas	88.3	NA
PAN	2000	2.744	9.414	3010369	Americas	90.5	6.98486614
PAN	2005	2.643	9.712	3313026	Americas	91.1	6.20666599
PAN	2010	2.587	9.987	3628535	Americas	92.7	7.22332573
PAN	2015	2.53	10.338	3960035	Americas	96.3	6.93698502
PNG	1980	5.705	1.644	3131512	Oceania	NA	NA
PNG	1985	5.47	2.023	3478936	Oceania	NA	NA
PNG	1990	5.18	2.462	3896481	Oceania	NA	NA
PNG	1995	4.78	2.777	4644278	Oceania	42	NA
PNG	2000	4.525	2.95	5537064	Oceania	41	2.0184176
PNG	2005	4.22	3.533	6535905	Oceania	NA	2.44874048
PNG	2010	3.883	3.829	7633523	Oceania	NA	2.10756016
PNG	2015	3.558	4.028	8743246	Oceania	NA	1.81881714
PRY	1960	6.5	3.11	1883514	Americas	NA	NA
PRY	1965	6.345	3.466	2125177	Americas	NA	NA
PRY	1970	5.718	4.04	2388028	Americas	NA	NA
PRY	1975	5.177	4.581	2691648	Americas	NA	NA
PRY	1980	5.102	5.146	3053235	Americas	NA	NA
PRY	1985	4.974	5.768	3510671	Americas	NA	NA
PRY	1990	4.565	6.297	4035747	Americas	66	NA
PRY	1995	4.108	6.33	4579806	Americas	NA	NA
PRY	2000	3.508	6.546	5100868	Americas	85	6.01865244
PRY	2005	2.973	7.948	5448097	Americas	87.5	4.82934713
PRY	2010	2.695	8.004	5737971	Americas	95.6	5.46593952
PRY	2015	2.645	8.822	6159103	Americas	96.3	6.69165802
PER	1960	6.941	2.675	10174127	Americas	NA	NA
PER	1965	6.75	3.099	11761085	Americas	NA	NA
PER	1970	6.316	3.765	13501237	Americas	NA	NA
PER	1975	5.709	4.693	15333957	Americas	NA	NA
PER	1980	5.041	5.506	17360949	Americas	NA	NA
PER	1985	4.46	6.199	19648204	Americas	NA	NA
PER	1990	3.912	6.877	22014771	Americas	NA	NA
PER	1995	3.315	7.539	24348919	Americas	NA	NA
PER	2000	2.845	8.537	26598331	Americas	59.3	4.41482639
PER	2005	2.643	9.443	28101180	Americas	NA	4.66598511
PER	2010	2.421	8.887	29086019	Americas	83.8	4.71338701
PER	2015	2.229	9.666	30457600	Americas	91.6	4.92147398
PHL	1960	6.996	3.231	27891897	Asia	NA	NA
PHL	1965	6.799	3.739	32625316	Asia	NA	NA
PHL	1970	6.218	4.595	37622204	Asia	NA	NA
PHL	1975	5.596	5.45	42120826	Asia	NA	NA
PHL	1980	5.108	6.179	48043740	Asia	NA	NA
PHL	1985	4.664	6.651	55213006	Asia	NA	NA
PHL	1990	4.322	7.208	62854666	Asia	NA	NA
PHL	1995	4.067	7.661	70546246	Asia	NA	NA
PHL	2000	3.754	8.118	79625397	Asia	58	3.05512357
PHL	2005	3.448	8.495	88015962	Asia	NA	3.74253035
PHL	2010	3.315	8.946	96337125	Asia	NA	4.13107872
PHL	2015	2.829	9.365	105312992	Asia	NA	3.8982749
POL	1960	2.98	5.935	29637450	Europe	NA	NA
POL	1965	2.52	6.663	31444950	Europe	NA	NA
POL	1970	2.2	7.365	32664300	Europe	NA	NA
POL	1975	2.27	7.941	34015199	Europe	NA	NA
POL	1980	2.28	8.176	35574150	Europe	NA	NA
POL	1985	2.33	8.597	37201885	Europe	NA	NA
POL	1990	2.06	9.59	38110782	Europe	97.8	NA
POL	1995	1.62	10.255	38594998	Europe	99.6	NA
POL	2000	1.37	10.76	38258629	Europe	99.4	5.28789568
POL	2005	1.24	11.446	38165445	Europe	99.3	5.80689144
POL	2010	1.41	11.754	38042794	Europe	99.9	6.46800566
POL	2015	1.32	11.944	37986412	Europe	99.9	6.40416241
PRT	1960	3.16	2.173	8857716	Europe	NA	NA
PRT	1965	3.15	2.181	8998595	Europe	NA	NA
PRT	1970	3.01	2.671	8680431	Europe	NA	NA
PRT	1975	2.75	3.813	9093470	Europe	NA	NA
PRT	1980	2.25	5.028	9766312	Europe	NA	NA
PRT	1985	1.72	5.743	10023613	Europe	NA	NA
PRT	1990	1.56	6.511	9983218	Europe	NA	NA
PRT	1995	1.41	7.408	10026176	Europe	NA	NA
PRT	2000	1.55	8.39	10289898	Europe	99.7	8.60104179
PRT	2005	1.41	8.236	10503330	Europe	NA	9.65306759
PRT	2010	1.39	8.935	10573100	Europe	NA	10.03250504
PRT	2015	1.31	9.818	10358076	Europe	99.9	9.31645775
GNB	1975	6.15	NA	650966	Africa	NA	NA
GNB	1980	6.487	NA	829303	Africa	NA	NA
GNB	1985	6.739	NA	897697	Africa	NA	NA
GNB	1990	6.501	NA	973669	Africa	NA	NA
GNB	1995	6.223	NA	1119949	Africa	25	NA
GNB	2000	5.786	NA	1234741	Africa	31.8	4.18953228
GNB	2005	5.46	NA	1381585	Africa	NA	4.5516243
GNB	2010	5.111	NA	1566347	Africa	43	5.26704073
GNB	2015	4.661	NA	1786457	Africa	NA	8.13228226
TLS	2005	5.611	NA	948311	Asia	NA	5.28044748
TLS	2010	4.816	NA	1084679	Asia	29.3	6.47058821
TLS	2015	3.779	NA	1205131	Asia	NA	7.67216587
QAT	1975	5.861	4.033	193087	Asia	NA	NA
QAT	1980	5.329	4.974	275913	Asia	NA	NA
QAT	1985	4.642	5.773	365940	Asia	NA	NA
QAT	1990	4.23	6.338	440175	Asia	100	NA
QAT	1995	3.557	6.968	514325	Asia	100	NA
QAT	2000	3.073	7.556	644989	Asia	100	1.97258496
QAT	2005	2.635	8.205	825408	Asia	100	2.56300044
QAT	2010	2.137	9.641	1616832	Asia	100	1.87017763
QAT	2015	1.976	10.775	2344557	Asia	99.9	3.63581347
ROU	1960	2.34	4.899	18406905	Europe	NA	NA
ROU	1965	1.91	5.334	19031576	Europe	NA	NA
ROU	1970	2.89	6.224	20250398	Europe	NA	NA
ROU	1975	2.59	7.248	21293583	Europe	NA	NA
ROU	1980	2.43	8.076	22207282	Europe	NA	NA
ROU	1985	2.31	8.8	22732999	Europe	NA	NA
ROU	1990	1.83	9.422	23201835	Europe	99.8	NA
ROU	1995	1.33	10.052	22684270	Europe	99.1	NA
ROU	2000	1.31	10.481	22442971	Europe	99	4.20876169
ROU	2005	1.4	10.762	21319685	Europe	98.1	5.52778196
ROU	2010	1.59	11.179	20246871	Europe	99.5	5.63998747
ROU	2015	1.62	11.371	19815616	Europe	94.3	4.94295502
RUS	1995	1.337	10.799	148375787	Europe	99.1	NA
RUS	2000	1.195	11.578	146596869	Europe	99.2	5.01989794
RUS	2005	1.294	11.835	143518814	Europe	99.4	4.77177477
RUS	2010	1.567	12.099	142849468	Europe	99.7	4.97111797
RUS	2015	1.777	12.132	144640716	Europe	99.7	5.29604387
RWA	1965	8.249	0.407	3423210	Africa	NA	NA
RWA	1970	8.145	0.629	3980669	Africa	NA	NA
RWA	1975	8.096	0.907	4607728	Africa	NA	NA
RWA	1980	8.115	1.19	5353259	Africa	NA	NA
RWA	1985	7.786	1.502	6317228	Africa	NA	NA
RWA	1990	6.803	1.948	7375307	Africa	NA	NA
RWA	1995	6.345	2.657	5674118	Africa	NA	NA
RWA	2000	5.967	3.34	8213931	Africa	31.3	3.57583427
RWA	2005	5.5	3.976	9054528	Africa	38.6	7.72468948
RWA	2010	4.522	4.449	10317553	Africa	69	8.08192921
RWA	2015	4.108	5.278	11640022	Africa	90.7	6.65067434
KNA	1985	2.82	NA	41874	Americas	NA	NA
KNA	1990	2.725	NA	40432	Americas	NA	NA
KNA	1995	2.304	NA	42326	Americas	100	NA
KNA	2000	2.126	NA	45248	Americas	99.4	4.79933786
KNA	2005	1.931	NA	46437	Americas	100	4.72803831
KNA	2010	1.762	NA	46846	Americas	100	5.2136941
KNA	2015	1.643	NA	47087	Americas	100	5.12590599
LCA	1980	4.412	NA	119290	Americas	NA	NA
LCA	1985	3.97	NA	129159	Americas	NA	NA
LCA	1990	3.238	NA	137857	Americas	NA	NA
LCA	1995	3.026	NA	148208	Americas	100	NA
LCA	2000	2.207	NA	158616	Americas	100	4.86549902
LCA	2005	1.807	NA	165450	Americas	100	4.86039829
LCA	2010	1.673	NA	170906	Americas	98.5	5.12090254
LCA	2015	1.473	NA	174905	Americas	99.1	4.51419878
VCT	1980	3.923	NA	104213	Americas	NA	NA
VCT	1985	3.081	NA	108506	Americas	NA	NA
VCT	1990	2.731	NA	111812	Americas	NA	NA
VCT	1995	2.609	NA	113047	Americas	100	NA
VCT	2000	2.306	NA	113545	Americas	100	3.97939277
VCT	2005	2.068	NA	112450	Americas	100	3.83165979
VCT	2010	2.144	NA	109959	Americas	98.3	4.30325222
VCT	2015	2.133	NA	106960	Americas	98.7	4.11412001
SMR	1960	2.428	NA	15428	Europe	NA	NA
SMR	1965	2.334	NA	17305	Europe	NA	NA
SMR	1970	2.316	NA	18168	Europe	NA	NA
SMR	1975	2.053	NA	19046	Europe	NA	NA
SMR	1980	1.525	NA	21585	Europe	NA	NA
SMR	1985	1.17	NA	22485	Europe	NA	NA
SMR	1990	1.162	NA	23475	Europe	NA	NA
SMR	1995	1.166	NA	25158	Europe	NA	NA
SMR	2000	1.404	NA	26799	Europe	NA	5.7876792
SMR	2005	1.198	NA	29836	Europe	NA	4.88683653
SMR	2010	1.459	NA	33270	Europe	NA	6.20853519
SMR	2015	1.196	NA	32897	Europe	NA	8.43315315
STP	1975	6.534	NA	86708	Africa	NA	NA
STP	1980	6.386	NA	98544	Africa	NA	NA
STP	1985	6.101	NA	108658	Africa	NA	NA
STP	1990	5.828	NA	122980	Africa	NA	NA
STP	1995	5.554	NA	134895	Africa	NA	NA
STP	2000	5.157	NA	144018	Africa	78.6	9.31892776
STP	2005	4.939	NA	161639	Africa	NA	10.35199738
STP	2010	4.769	NA	181802	Africa	NA	5.80827904
STP	2015	4.354	NA	200291	Africa	NA	6.53226852
SAU	1960	7.626	1.313	2435403	Asia	NA	NA
SAU	1965	7.658	1.602	2928771	Asia	NA	NA
SAU	1970	7.583	1.662	3562470	Asia	NA	NA
SAU	1975	7.37	2.164	4556287	Asia	NA	NA
SAU	1980	7.145	2.578	6047997	Asia	NA	NA
SAU	1985	6.649	3.63	8151779	Asia	NA	NA
SAU	1990	5.804	4.707	10640691	Asia	88	NA
SAU	1995	4.986	5.38	13289245	Asia	91.4	NA
SAU	2000	4.206	6.486	16177722	Asia	91	4.2116060299999996
SAU	2005	3.161	7.494	20559890	Asia	96	3.41868114
SAU	2010	2.81	7.839	23978487	Asia	97	3.64786696
SAU	2015	2.63	9.572	29816382	Asia	98	5.86202717
SEN	1965	7.19	1.32	3849788	Africa	NA	NA
SEN	1970	7.262	1.49	4466328	Africa	NA	NA
SEN	1975	7.252	1.663	5170810	Africa	NA	NA
SEN	1980	7.292	1.713	5845638	Africa	NA	NA
SEN	1985	7.013	1.684	6683287	Africa	NA	NA
SEN	1990	6.396	1.643	7720523	Africa	NA	NA
SEN	1995	5.819	1.594	8848101	Africa	NA	NA
SEN	2000	5.498	1.45	9968260	Africa	57.8	3.55015373
SEN	2005	5.133	1.246	11235472	Africa	51.9	3.67466521
SEN	2010	5.055	2.542	12635413	Africa	NA	4.02764368
SEN	2015	4.751	2.831	14593331	Africa	53.2	4.37789631
SRB	2010	1.4	11.514	7291436	Europe	99.7	9.5273037
SRB	2015	1.46	11.622	7095383	Europe	NA	8.8132
SYC	1980	3.79	NA	63261	Africa	NA	NA
SYC	1985	3.091	NA	65244	Africa	NA	NA
SYC	1990	2.607	NA	69507	Africa	98	NA
SYC	1995	2.361	NA	75304	Africa	99	NA
SYC	2000	2.08	NA	81131	Africa	99	4.61071777
SYC	2005	2.2	NA	82858	Africa	99	5.21991158
SYC	2010	2.16	NA	89770	Africa	99	5.35168219
SYC	2015	2.31	NA	93419	Africa	NA	4.30914021
SLE	1965	6.311	0.388	2468666	Africa	NA	NA
SLE	1970	6.411	0.492	2712286	Africa	NA	NA
SLE	1975	6.546	0.668	2974657	Africa	NA	NA
SLE	1980	6.562	0.871	3272089	Africa	NA	NA
SLE	1985	6.592	1.117	3638438	Africa	NA	NA
SLE	1990	6.567	1.453	4196828	Africa	NA	NA
SLE	1995	6.555	1.734	4179179	Africa	NA	NA
SLE	2000	6.355	2.043	4423611	Africa	37.1	8.48961735
SLE	2005	5.807	2.465	5501712	Africa	40	9.04395866
SLE	2010	5.327	3.389	6222714	Africa	60.8	9.12688351
SLE	2015	4.548	3.563	7037655	Africa	NA	19.65816307
SGP	1970	3.07	4.403	2074507	Asia	NA	NA
SGP	1975	2.07	4.586	2262600	Asia	NA	NA
SGP	1980	1.82	5.015	2413945	Asia	NA	NA
SGP	1985	1.61	5.881	2735957	Asia	NA	NA
SGP	1990	1.83	6.734	3047132	Asia	NA	NA
SGP	1995	1.67	8.16	3524506	Asia	NA	NA
SGP	2000	1.6	9.625	4027887	Asia	99.7	3.343364
SGP	2005	1.26	9.406	4265762	Asia	99.7	3.03367925
SGP	2010	1.15	11.338	5076732	Asia	99.7	3.1982615
SGP	2015	1.24	12.742	5535002	Asia	99.7	4.18061399
SVK	1995	1.52	11.307	5361999	Europe	100	NA
SVK	2000	1.3	11.54	5388720	Europe	100	5.30256939
SVK	2005	1.27	11.48	5372807	Europe	99.5	6.58870029
SVK	2010	1.43	11.76	5391428	Europe	99.2	7.66638851
SVK	2015	1.4	12.128	5423801	Europe	97	6.76215172
VNM	1980	4.795	4.702	52490101	Asia	NA	NA
VNM	1985	4.206	4.382	59060622	Asia	NA	NA
VNM	1990	3.602	4.029	65504552	Asia	NA	NA
VNM	1995	2.7	4.756	72049940	Asia	NA	NA
VNM	2000	2.028	5.564	77154011	Asia	58.8	4.10752726
VNM	2005	1.887	6.269	81088313	Asia	NA	4.31821251
VNM	2010	1.906	6.979	87455152	Asia	NA	5.07146072
VNM	2015	2.1	7.45	92823254	Asia	NA	4.71140909
SVN	1995	1.29	11.177	1989872	Europe	99.9	NA
SVN	2000	1.26	11.564	1988925	Europe	99.9	7.80406952
SVN	2005	1.26	11.956	2000474	Europe	99.9	7.99595737
SVN	2010	1.57	12.24	2048583	Europe	99.9	8.56503296
SVN	2015	1.57	12.333	2063531	Europe	NA	8.49823952
SOM	1965	7.261	NA	3277874	Africa	NA	NA
SOM	1970	7.182	NA	3738448	Africa	NA	NA
SOM	1975	7.033	NA	4257535	Africa	NA	NA
SOM	1980	7.178	NA	5936154	Africa	NA	NA
SOM	1985	7.327	NA	6693289	Africa	NA	NA
SOM	1990	7.44	NA	7082811	Africa	NA	NA
SOM	1995	7.581	NA	7285007	Africa	NA	NA
SOM	2000	7.645	NA	8838713	Africa	19.3	NA
SOM	2005	7.527	NA	10644228	Africa	NA	NA
SOM	2010	7.322	NA	12261756	Africa	NA	NA
SOM	2015	6.975	NA	13806963	Africa	NA	2.84291959
ZAF	1960	6.105	4.498	16440172	Africa	NA	NA
ZAF	1965	5.892	4.55	19089380	Africa	NA	NA
ZAF	1970	5.634	4.696	22279984	Africa	NA	NA
ZAF	1975	5.191	4.815	25690940	Africa	NA	NA
ZAF	1980	4.78	4.935	29518857	Africa	NA	NA
ZAF	1985	4.495	5.128	35042093	Africa	NA	NA
ZAF	1990	3.724	6.791	40746268	Africa	NA	NA
ZAF	1995	3.172	8.409	44541554	Africa	82	NA
ZAF	2000	2.413	7.861	47159719	Africa	NA	7.3366189
ZAF	2005	2.512	8.915	49490033	Africa	NA	6.86216164
ZAF	2010	2.445	9.873	52344051	Africa	NA	7.79358244
ZAF	2015	2.359	10.258	56723537	Africa	NA	8.05304241
ZWE	1960	NA	NA	NA	Africa	NA	NA
ZWE	1965	NA	NA	NA	Africa	NA	NA
ZWE	1970	6.982	2.744	5215918	Africa	NA	NA
ZWE	1975	6.832	3.008	6098658	Africa	NA	NA
ZWE	1980	6.517	3.442	7041303	Africa	NA	NA
ZWE	1985	5.871	4.054	8686813	Africa	NA	NA
ZWE	1990	4.876	5.229	10137281	Africa	NA	NA
ZWE	1995	4.153	6.201	10974599	Africa	NA	NA
ZWE	2000	4.009	6.77	11892055	Africa	NA	NA
ZWE	2005	3.693	7.32	12483432	Africa	NA	NA
ZWE	2010	4.04	7.683	13356548	Africa	NA	10.47583866
ZWE	2015	3.911	7.811	14399013	Africa	78.1	7.44982719
YMD	1970	NA	NA	NA	NA	NA	NA
YMD	1975	NA	NA	NA	NA	NA	NA
YMD	1980	NA	NA	NA	NA	NA	NA
YMD	1985	NA	NA	NA	NA	NA	NA
ESP	1960	2.86	3.982	30455000	Europe	NA	NA
ESP	1965	2.94	4.254	31954292	Europe	NA	NA
ESP	1970	2.84	4.867	33814531	Europe	NA	NA
ESP	1975	2.77	5.707	35757900	Europe	NA	NA
ESP	1980	2.22	6.826	37491165	Europe	NA	NA
ESP	1985	1.64	6.91	38469512	Europe	NA	NA
ESP	1990	1.36	7.276	38867322	Europe	NA	NA
ESP	1995	1.16	8.593	39724050	Europe	NA	NA
ESP	2000	1.22	9.646	40567864	Europe	NA	6.7992177
ESP	2005	1.33	10.694	43653155	Europe	NA	7.73974037
ESP	2010	1.37	10.851	46576897	Europe	NA	9.1189127
ESP	2015	1.33	11.103	46422303	Europe	99.9	9.12383366
SSD	2015	4.695	NA	11107561	Africa	NA	NA
SDN	2015	NA	NA	NA	Africa	NA	NA
SDN	1960	6.663	0.16	8364489	Africa	NA	NA
SDN	1965	6.84	0.235	9858030	Africa	NA	NA
SDN	1970	6.986	0.333	11695771	Africa	NA	NA
SDN	1975	6.866	0.51	14064798	Africa	NA	NA
SDN	1980	6.592	0.804	17058905	Africa	NA	NA
SDN	1985	6.279	1.277	19905872	Africa	NA	NA
SDN	1990	6.074	1.752	22021481	Africa	68.5	NA
SDN	1995	5.856	2.143	24672143	Africa	NA	NA
SDN	2000	5.596	2.498	27816745	Africa	NA	3.60664487
SDN	2005	5.397	2.781	31262444	Africa	NA	4.09418154
SDN	2010	5.141	3.026	35414399	Africa	72.5	5.05810165
SUR	1980	3.791	NA	375377	Americas	NA	NA
SUR	1985	3.711	NA	386972	Americas	NA	NA
SUR	1990	3.225	NA	412493	Americas	NA	NA
SUR	1995	2.897	NA	429606	Americas	80	NA
SUR	2000	3.046	NA	476643	Americas	70.9	5.87092161
SUR	2005	2.712	NA	519313	Americas	NA	5.2439642
SUR	2010	2.688	NA	549923	Americas	90	4.6978569
SUR	2015	2.57	NA	581627	Americas	90	5.80808163
SWZ	1970	6.749	2.752	441216	Africa	NA	NA
SWZ	1975	6.707	3.597	507673	Africa	NA	NA
SWZ	1980	6.574	4.719	596644	Africa	NA	NA
SWZ	1985	6.282	5.651	706196	Africa	NA	NA
SWZ	1990	5.295	5.537	872428	Africa	NA	NA
SWZ	1995	4.523	5.372	970433	Africa	NA	NA
SWZ	2000	4.03	4.708	1041414	Africa	65.4	4.60951757
SWZ	2005	3.704	4.65	1079022	Africa	NA	7.37623358
SWZ	2010	3.375	5.417	1111650	Africa	82	8.5912571
SWZ	2015	3.122	5.86	1142813	Africa	NA	7.05855274
SWE	1960	2.17	7.549	7484656	Europe	NA	NA
SWE	1965	2.39	8.065	7733853	Europe	NA	NA
SWE	1970	1.92	8.473	8042801	Europe	NA	NA
SWE	1975	1.77	9.415	8192437	Europe	NA	NA
SWE	1980	1.68	10.135	8310531	Europe	NA	NA
SWE	1985	1.74	10.634	8350386	Europe	NA	NA
SWE	1990	2.13	11.102	8558835	Europe	NA	NA
SWE	1995	1.73	11.561	8826939	Europe	NA	NA
SWE	2000	1.54	11.927	8872109	Europe	NA	7.32689953
SWE	2005	1.77	12.103	9029572	Europe	NA	8.1508379
SWE	2010	1.98	12.197	9378126	Europe	NA	8.31963825
SWE	2015	1.85	12.286	9799186	Europe	NA	10.80418396
CHE	1960	2.44	8.807	5327827	Europe	NA	NA
CHE	1965	2.59	9.17	5856472	Europe	NA	NA
CHE	1970	2.1	9.511	6180877	Europe	NA	NA
CHE	1975	1.61	10.061	6338632	Europe	NA	NA
CHE	1980	1.55	10.762	6319408	Europe	NA	NA
CHE	1985	1.52	10.061	6470365	Europe	NA	NA
CHE	1990	1.58	9.88	6715519	Europe	NA	NA
CHE	1995	1.48	9.763	7040687	Europe	NA	NA
CHE	2000	1.5	9.594	7184250	Europe	NA	9.13442421
CHE	2005	1.42	10.414	7437115	Europe	NA	10.05823421
CHE	2010	1.52	12.67	7824909	Europe	NA	10.00535202
CHE	2015	1.54	11.972	8282396	Europe	NA	11.00444603
SYR	1960	7.505	0.584	4673500	Asia	NA	NA
SYR	1965	7.532	0.74	5435267	Asia	NA	NA
SYR	1970	7.621	1.087	6380609	Asia	NA	NA
SYR	1975	7.486	1.607	7554364	Asia	NA	NA
SYR	1980	7.119	2.339	8957663	Asia	NA	NA
SYR	1985	6.484	3.15	10625672	Asia	NA	NA
